minute,x,y,orientation,speed
1.0366666666666666,39.18,-14.35,-61.7225229185454,4.091666666666667
1.0373333333333334,39.27,-14.49,-61.516032255247225,4.108333333333333
1.038,39.35,-14.63,-61.28110599548505,4.125
1.0386666666666666,39.43,-14.78,-61.156909868916095,4.138888888888889
1.0393333333333332,39.52,-14.92,-60.92392097920347,4.152777777777778
1.04,39.59,-15.07,-60.81328206545405,4.161111111111111
1.0406666666666666,39.67,-15.22,-60.61908490070512,4.169444444444444
1.0413333333333332,39.76,-15.36,-60.47120907433636,4.177777777777777
1.042,39.85,-15.51,-60.29148969749928,4.183333333333334
1.0426666666666666,39.93,-15.65,-60.18255952052963,4.191666666666666
1.0433333333333334,40.02,-15.79,-60.08575408611168,4.197222222222222
1.044,40.09,-15.94,-59.934289725920614,4.199999999999999
1.0446666666666666,40.18,-16.08,-59.82608004347508,4.208333333333333
1.0453333333333332,40.27,-16.23,-59.63539220700544,4.208333333333333
1.046,40.35,-16.37,-59.57264190447387,4.208333333333333
1.0466666666666666,40.44,-16.52,-59.50951435043692,4.208333333333333
1.0473333333333334,40.53,-16.66,-59.35685793190512,4.208333333333333
1.048,40.61,-16.81,-59.217498569446875,4.208333333333333
1.0486666666666666,40.69,-16.95,-59.2346361206259,4.211111111111111
1.0493333333333335,40.78,-17.1,-59.11956955205292,4.213888888888889
1.05,40.87,-17.24,-59.043368621373695,4.216666666666667
1.0506666666666666,40.96,-17.38,-58.921420623013,4.219444444444444
1.0513333333333332,41.05,-17.53,-58.90745234425159,4.219444444444444
1.052,41.13,-17.67,-58.87829439760115,4.219444444444444
1.0526666666666666,41.21,-17.82,-58.80344461488337,4.219444444444444
1.0533333333333335,41.3,-17.96,-58.714112260820265,4.216666666666667
1.054,41.39,-18.1,-58.68343112570578,4.216666666666667
1.0546666666666666,41.48,-18.25,-58.68810327414215,4.216666666666667
1.0553333333333332,41.57,-18.39,-58.67244435790149,4.216666666666667
1.056,41.66,-18.54,-58.63985142912785,4.213888888888889
1.0566666666666666,41.75,-18.68,-58.614405399714585,4.213888888888889
1.0573333333333332,41.84,-18.82,-58.64300432561917,4.211111111111111
1.058,41.92,-18.96,-58.60895000259536,4.205555555555556
1.0586666666666666,42.01,-19.11,-58.583543093008714,4.199999999999999
1.0593333333333335,42.1,-19.25,-58.600365344366146,4.194444444444445
1.06,42.19,-19.4,-58.64376842475701,4.191666666666666
1.0606666666666666,42.27,-19.54,-58.71561590346269,4.188888888888889
1.0613333333333332,42.36,-19.69,-58.75214158288973,4.180555555555555
1.062,42.45,-19.83,-58.79420260252918,4.175
1.0626666666666666,42.54,-19.97,-58.8512844714398,4.169444444444444
1.0633333333333332,42.62,-20.11,-58.81430037531652,4.158333333333333
1.064,42.71,-20.25,-58.87787382483699,4.1499999999999995
1.0646666666666667,42.8,-20.39,-58.9256155204556,4.141666666666667
1.0653333333333335,42.88,-20.53,-58.98471729605895,4.133333333333334
1.066,42.97,-20.67,-58.971518214470926,4.122222222222222
1.0666666666666667,43.06,-20.81,-59.085421587084504,4.111111111111112
1.0673333333333335,43.13,-20.95,-59.087315705895875,4.102777777777778
1.068,43.22,-21.09,-59.11359739996713,4.086111111111111
1.0686666666666667,43.31,-21.23,-59.120904510206884,4.072222222222222
1.0693333333333332,43.39,-21.38,-59.10815853338754,4.058333333333333
1.07,43.48,-21.52,-59.18073278681637,4.041666666666667
1.0706666666666667,43.56,-21.66,-59.16453124467721,4.030555555555555
1.0713333333333332,43.63,-21.79,-59.19456376892522,4.016666666666667
1.0719999999999998,43.72,-21.93,-59.27507955309265,4.008333333333333
1.0726666666666667,43.8,-22.07,-59.31257459651094,4.0
1.0733333333333335,43.88,-22.2,-59.49544986270781,3.9916666666666663
1.074,43.96,-22.34,-59.60336108959241,3.9861111111111107
1.0746666666666667,44.04,-22.48,-59.592015660921284,3.9805555555555556
1.0753333333333333,44.12,-22.62,-59.635791189304825,3.977777777777778
1.076,44.2,-22.76,-59.746754235719536,3.975
1.0766666666666667,44.28,-22.9,-59.679264311506444,3.9722222222222223
1.0773333333333333,44.36,-23.03,-59.89812747305443,3.9722222222222223
1.078,44.43,-23.17,-59.91263512810927,3.9722222222222223
1.0786666666666667,44.51,-23.31,-59.87341743775866,3.975
1.0793333333333335,44.59,-23.45,-59.93869071381662,3.975
1.0799999999999998,44.67,-23.58,-60.03448843148801,3.9722222222222223
1.0806666666666667,44.74,-23.72,-60.12947070279891,3.969444444444444
1.0813333333333333,44.83,-23.87,-60.23520165816067,3.969444444444444
1.082,44.91,-24.0,-60.40263554020573,3.961111111111111
1.0826666666666667,44.99,-24.14,-60.4692055086195,3.958333333333333
1.0833333333333333,45.07,-24.28,-60.57272656356742,3.9555555555555557
1.084,45.14,-24.41,-60.669659237816184,3.95
1.0846666666666667,45.22,-24.55,-60.758405340727165,3.944444444444444
1.0853333333333335,45.3,-24.68,-60.87505256251239,3.936111111111111
1.0859999999999999,45.38,-24.82,-61.086097328841035,3.9250000000000003
1.0866666666666667,45.45,-24.96,-61.25273665861686,3.9166666666666665
1.0873333333333333,45.53,-25.1,-61.391404029209035,3.9055555555555554
1.088,45.61,-25.23,-61.56984243639376,3.8999999999999995
1.0886666666666664,45.69,-25.37,-61.6072913902493,3.888888888888889
1.0893333333333333,45.77,-25.5,-61.65100117083157,3.8805555555555555
1.09,45.84,-25.63,-61.689149836569555,3.8749999999999996
1.0906666666666667,45.92,-25.77,-61.74638222284733,3.8694444444444445
1.0913333333333335,46.0,-25.91,-61.82144725206875,3.861111111111111
