eID,gameclock,tID,pID,outcome,timestamp,minute,second,qualifier,segment,team
OtherBallAction,1983.136,DFL-CLU-00000B,DFL-OBJ-002GAR,,2023-05-27 16:04:11.786000+02:00,33.0,3.0,"{'Player': 'DFL-OBJ-002GAR', 'DefensiveClearance': 'true', 'Team': 'DFL-CLU-00000B', 'BallPossessionPhase': '476'}",firstHalf,Away
KickOff_Play_Pass,2095.606,DFL-CLU-00000B,DFL-OBJ-002GBK,,2023-05-27 16:06:04.256000+02:00,34.0,55.0,"{'TeamLeft': 'DFL-CLU-00000B', 'TeamRight': 'DFL-CLU-00000S', 'PlayOrigin': 'ownHalf', 'Height': 'flat', 'Recipient': 'DFL-OBJ-002G8H', 'FromOpenPlay': 'false', 'PlayAngle': '180.00', 'Player': 'DFL-OBJ-002GBK', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'Team': 'DFL-CLU-00000B', 'BallPossessionPhase': '479', 'Distance': 'short', 'FreeKickLayup': 'false'}",firstHalf,Away
Play_Pass,2099.124,DFL-CLU-00000B,DFL-OBJ-002G8H,,2023-05-27 16:06:07.774000+02:00,34.0,59.0,"{'PlayOrigin': 'ownHalf', 'Height': 'flat', 'Recipient': 'DFL-OBJ-002GAR', 'FromOpenPlay': 'true', 'PlayAngle': '182.60', 'Player': 'DFL-OBJ-002G8H', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'Team': 'DFL-CLU-00000B', 'BallPossessionPhase': '480', 'Distance': 'medium', 'FreeKickLayup': 'false'}",firstHalf,Away
Play_Pass,2100.366,DFL-CLU-00000B,DFL-OBJ-002GAR,,2023-05-27 16:06:09.016000+02:00,35.0,0.0,"{'PlayOrigin': 'ownHalf', 'Height': 'high', 'Recipient': 'DFL-OBJ-J014F7', 'FromOpenPlay': 'true', 'PlayAngle': '354.32', 'Player': 'DFL-OBJ-002GAR', 'FlatCross': 'false', 'Evaluation': 'unsuccessful', 'PenaltyBox': 'false', 'SemiField': 'false', 'Team': 'DFL-CLU-00000B', 'BallPossessionPhase': '481', 'Distance': 'long', 'FreeKickLayup': 'false', 'Direction': 'throughBall'}",firstHalf,Away
TacklingGame,2101.872,DFL-CLU-00000B,DFL-OBJ-J013O2,1.0,2023-05-27 16:06:10.522000+02:00,35.0,1.0,"{'Winner': 'DFL-OBJ-J014F7', 'Type': 'air', 'PossessionChange': 'true', 'WinnerTeam': 'DFL-CLU-00000S', 'LoserTeam': 'DFL-CLU-00000B', 'WinnerResult': 'ballcontactSucceeded', 'Loser': 'DFL-OBJ-J013O2', 'GoalKeeperInvolved': 'false', 'LoserRole': 'withBallControl', 'WinnerRole': 'withoutBallControl'}",firstHalf,Away
Delete,2107.029,,,,2023-05-27 16:06:15.679000+02:00,35.0,7.0,{},firstHalf,Away
Delete,2108.983,,,,2023-05-27 16:06:17.633000+02:00,35.0,8.0,{},firstHalf,Away
Play_Pass,2113.096,DFL-CLU-00000B,DFL-OBJ-0001UP,,2023-05-27 16:06:21.746000+02:00,35.0,13.0,"{'PlayOrigin': 'ownHalf', 'Height': 'flat', 'Recipient': 'DFL-OBJ-000199', 'FromOpenPlay': 'true', 'PlayAngle': '24.99', 'Player': 'DFL-OBJ-0001UP', 'FlatCross': 'false', 'Evaluation': 'unsuccessful', 'PenaltyBox': 'false', 'SemiField': 'false', 'Team': 'DFL-CLU-00000B', 'BallPossessionPhase': '490', 'Distance': 'medium', 'FreeKickLayup': 'false'}",firstHalf,Away
Delete,2121.155,,,,2023-05-27 16:06:29.805000+02:00,35.0,21.0,{},firstHalf,Away
Play_Pass,2124.741,DFL-CLU-00000B,DFL-OBJ-J013O2,,2023-05-27 16:06:33.391000+02:00,35.0,24.0,"{'PlayOrigin': 'ownHalf', 'Height': 'flat', 'Recipient': 'DFL-OBJ-0002LI', 'FromOpenPlay': 'true', 'PlayAngle': '13.20', 'Player': 'DFL-OBJ-J013O2', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'Team': 'DFL-CLU-00000B', 'BallPossessionPhase': '495', 'Distance': 'short', 'FreeKickLayup': 'false'}",firstHalf,Away
Delete,2127.292,,,,2023-05-27 16:06:35.942000+02:00,35.0,27.0,{},firstHalf,Away
