minute,orientation_deg,velocity_m_s
1.1266666666666665,-47.890853061870665,2.9805609914480033
1.1273333333333333,-48.13043034417559,2.9431641290855834
1.1280000000000001,-48.38709581679323,2.90103545450336
1.1286666666666667,-50.018951513874,2.862445495823575
1.1293333333333335,-50.25166748512293,2.817090240987594
1.13,-50.58648173583406,2.7684334620093445
1.1306666666666667,-50.92425425225633,2.7203285426971813
1.1313333333333333,-51.39560757029441,2.672630931528958
1.1320000000000001,-53.225248915288965,2.6261027929166376
1.1326666666666665,-53.668127874259206,2.569200395872939
1.1333333333333333,-54.153917145174816,2.5206086930072873
1.1340000000000001,-54.73245531462007,2.466291942000292
1.1346666666666667,-56.89556728147539,2.4201274918532008
1.1353333333333333,-57.496746298200534,2.3645209267772254
1.136,-58.24646563451592,2.306603973130879
1.1366666666666667,-59.02718645091619,2.2498324233752838
1.1373333333333333,-59.902393020107034,2.1927154669905327
1.1380000000000001,-62.67589312908496,2.1389225579311573
1.1386666666666665,-63.59197729191652,2.0864159655540173
1.1393333333333333,-64.5789552657295,2.0310113502033977
1.1400000000000001,-65.63370990925318,1.9725641648210117
1.1406666666666667,-68.92563026952708,1.921063604373647
1.1413333333333333,-70.17958614804513,1.8605785753062882
1.142,-71.52986847821131,1.8009967075790185
1.1426666666666667,-73.52659334146458,1.7421952672668983
1.1433333333333333,-75.48320655573438,1.6806728931765942
1.144,-77.06238352038571,1.6217163483205113
1.1446666666666667,-79.45627910314717,1.562772729365255
1.1453333333333333,-82.05445687835854,1.506207098557516
1.1460000000000001,-84.15537075449672,1.4432675577402254
1.1466666666666667,-86.81216829995988,1.3895460606124825
1.1473333333333333,-89.49664375729215,1.3337660993513658
1.148,-91.97106553809891,1.274637755769
1.1486666666666667,-94.83802526740328,1.217734632188742
1.1493333333333333,-97.59261515766231,1.1695075092818308
1.15,-100.66567021659414,1.1148155850796664
1.1506666666666667,-103.57033475874518,1.0604489344433863
1.1513333333333333,-106.67878277000644,1.0049969364062217
1.1520000000000001,-109.96724279103664,0.9596411958257693
1.1526666666666665,-113.18749317582132,0.9158080667986899
1.1533333333333333,-116.30159178907999,0.862634790385123
1.154,-119.52133807460321,0.8138559120010058
1.1546666666666667,-122.91652748126297,0.7708028816354826
1.1553333333333333,-126.41696986045726,0.721763777037212
1.156,-129.6133179171956,0.6806287599724467
1.1566666666666667,-133.12717863855826,0.6455700022006804
1.1573333333333333,-136.1846696399011,0.608431733851304
1.1580000000000001,-139.27160912390326,0.5703097579344312
1.1586666666666665,-142.15873133021017,0.5400049755331521
1.1593333333333333,-145.00492314589783,0.5071447623209707
1.16,-148.36858021514,0.4800981033861785
1.1606666666666667,-151.42837599741546,0.44638242885287926
1.1613333333333336,-153.97451998862394,0.41736280737766046
1.162,-157.20680506313835,0.39489702308311486
1.1626666666666667,-159.88469520734228,0.36801185694697747
1.1633333333333333,-162.9535703525004,0.3556446053717977
1.1640000000000001,-165.30640876989114,0.3386394669309536
1.1646666666666665,-167.50379047356108,0.3224641517765619
1.1653333333333333,-170.7209278482678,0.30321089489368697
1.166,-172.83751394798142,0.2959503211654599
1.1666666666666667,-175.9772290368922,0.2966160273690155
1.1673333333333333,-178.91173169943767,0.2929093363466598
1.168,178.3478494807583,0.29685229153564435
1.1686666666666667,175.6128399910195,0.2945049564018716
1.1693333333333333,173.1215346426547,0.30181217737336424
1.1700000000000002,170.34518300286172,0.3030387552007049
1.1706666666666665,168.15444137053174,0.3079409810344153
1.1713333333333333,165.47493092621164,0.31482627962979054
1.172,164.43181233716754,0.30563684472377467
1.1726666666666667,162.87103664598212,0.2966793821977868
1.1733333333333333,162.0549860798008,0.2922858546479411
1.174,160.72090541278766,0.28144271878559957
1.1746666666666667,160.16641054947556,0.27877854042242545
1.1753333333333333,158.94415584216745,0.265489557174896
1.176,158.52199044646483,0.2644159328384159
1.1766666666666665,157.4770083975294,0.2609138735741899
1.1773333333333333,157.2687128808468,0.25835662011753974
1.1780000000000002,156.29773593523672,0.25239286038010655
1.1786666666666668,156.16873725343765,0.25879588348862625
1.1793333333333333,155.3638347900989,0.2554859696838712
1.18,155.4303009881988,0.2567806087970399
1.1806666666666668,154.67450120525615,0.2587616140711109
1.1813333333333333,154.80384268079644,0.2657609481021988
1.182,154.2459233958778,0.2678928596387115
1.1826666666666665,154.56946035735476,0.2776398247907489
1.1833333333333333,154.03818156531506,0.28078470225837404
1.1840000000000002,154.4428492739484,0.29266765583699317
1.1846666666666665,154.09409501420632,0.30258621821841974
1.1853333333333333,154.7321106548022,0.31391363013798324
1.186,154.4793699224765,0.3222985795073203
1.1866666666666668,155.23618598823938,0.3395730289225514
1.1873333333333334,155.23155717019034,0.3514683346049062
1.188,155.61987698214543,0.35270216293128903
1.1886666666666665,155.09484793821758,0.3499592155122266
1.1893333333333334,154.53058303869068,0.3468056688183061
1.1900000000000002,153.92065231530924,0.34324152284952786
1.1906666666666665,154.39524986238806,0.3432081041365057
1.1913333333333334,153.8480040719978,0.3431467392098454
1.192,153.2521333664929,0.3391236045401431
1.1926666666666668,153.71210409348362,0.3382710530685743
