eID,gameclock,tID,pID,outcome,timestamp,minute,second,qualifier,segment,team
ShotAtGoal_ShotWide,123.819,DFL-CLU-00000B,DFL-OBJ-002G8H,0.0,2023-05-27 15:33:12.469000+02:00,2.0,3.0,"{'CounterAttack': 'false', 'AfterFreeKick': 'false', 'AssistTypeShotAtGoal': 'direct', 'Pressure': '0.64', 'TakerBallControl': 'direct', 'DistanceToGoal': '22.83', 'Team': 'DFL-CLU-00000B', 'TakerSetup': 'otherPassFromOpenPlay', 'ShotCondition': 'notComplicated', 'AmountOfDefenders': '1', 'GoalDistanceGoalkeeper': '1.74', 'ShotOrigin': '4', 'SignificanceEvaluation': 'average', 'AngleToGoal': '13.92', 'InsideBox': 'true', 'BuildUp': 'passOpenPlay', 'AssistShotAtGoal': 'DFL-OBJ-J01KDN', 'Player': 'DFL-OBJ-002G8H', 'TypeOfShot': 'rightLeg', 'PlayerSpeed': '8.42', 'SetupOrigin': 'right', 'ChanceEvaluation': 'chance', 'BallPossessionPhase': '33', 'AssistAction': 'otherPassFromOpenPlay', 'xG': '0.0239', 'Placing': 'far', 'PitchMarking': 'over'}",firstHalf,Away
Delete,163.625,,,,2023-05-27 15:33:52.275000+02:00,2.0,43.0,{},firstHalf,Away
ThrowIn_Play_Pass,177.943,DFL-CLU-00000B,DFL-OBJ-J01B8R,,2023-05-27 15:34:06.593000+02:00,2.0,57.0,"{'Side': 'left', 'DecisionTimestamp': '2023-05-27T15:33:57.357+02:00', 'Team': 'DFL-CLU-00000B', 'PlayOrigin': 'ownHalf', 'Height': 'high', 'Recipient': 'DFL-OBJ-J013O2', 'FromOpenPlay': 'false', 'PlayAngle': '48.97', 'Player': 'DFL-OBJ-J01B8R', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'BallPossessionPhase': '43', 'Distance': 'short', 'FreeKickLayup': 'false'}",firstHalf,Away
Delete,182.208,,,,2023-05-27 15:34:10.858000+02:00,3.0,2.0,{},firstHalf,Away
Delete,193.242,,,,2023-05-27 15:34:21.892000+02:00,3.0,13.0,{},firstHalf,Away
BallClaiming,193.708,DFL-CLU-00000B,DFL-OBJ-002GOI,1.0,2023-05-27 15:34:22.358000+02:00,3.0,13.0,"{'Type': 'BallClaimed', 'Player': 'DFL-OBJ-002GOI', 'BallPossessionPhase': '51', 'Team': 'DFL-CLU-00000B'}",firstHalf,Away
Delete,224.219,,,,2023-05-27 15:34:52.869000+02:00,3.0,44.0,{},firstHalf,Away
Delete,248.173,,,,2023-05-27 15:35:16.823000+02:00,4.0,8.0,{},firstHalf,Away
GoalKick_Play_Pass,265.433,DFL-CLU-00000B,DFL-OBJ-002GAR,,2023-05-27 15:35:34.083000+02:00,4.0,25.0,"{'DecisionTimestamp': '2023-05-27T15:35:22.768+02:00', 'Team': 'DFL-CLU-00000B', 'PlayOrigin': 'ownHalf', 'Height': 'flat', 'Recipient': 'DFL-OBJ-0026NY', 'FromOpenPlay': 'false', 'PlayAngle': '65.38', 'Player': 'DFL-OBJ-002GAR', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'BallPossessionPhase': '71', 'Distance': 'short', 'FreeKickLayup': 'false'}",firstHalf,Away
Delete,304.079,,,,2023-05-27 15:36:12.729000+02:00,5.0,4.0,{},firstHalf,Away
